n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.662204704e+00      8.688523031e-01      9.618327590e-01      9.559797590e-01
      2.133333333e+00     -1.628140880e+00      8.480108388e-01      1.071974780e+00      1.429009047e+00
      2.166666667e+00     -1.590605703e+00      8.223396294e-01      1.198392960e+00      2.248681513e+00
      2.200000000e+00     -1.546716630e+00      7.851352169e-01      1.405341383e+00      4.532774396e+00
      2.233333333e+00     -1.495397471e+00      7.299167081e-01      1.661744289e+00      9.690139196e+00
      2.266666667e+00     -1.434331034e+00      6.437868944e-01      1.939123565e+00      1.934141176e+01
      2.300000000e+00     -1.368285994e+00      5.309342575e-01      1.966552269e+00      2.773418849e+01
      2.333333333e+00     -1.305474078e+00      4.131654156e-01      1.756061912e+00      2.989928374e+01
      2.366666667e+00     -1.252462153e+00      3.240474800e-01      1.443735577e+00      2.446158828e+01
      2.400000000e+00     -1.207319610e+00      2.546312244e-01      1.208806505e+00      1.855312460e+01
