n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.660096894e+00      8.554593153e-01      1.144068192e+00      2.189025503e+01
      2.133333333e+00     -1.626924838e+00      8.381325813e-01      1.175124550e+00      1.384079945e+01
      2.166666667e+00     -1.588236188e+00      8.078605539e-01      1.373771640e+00      2.074142768e+01
      2.200000000e+00     -1.545152775e+00      7.789272323e-01      1.472754585e+00      1.038855503e+01
      2.233333333e+00     -1.494317731e+00      7.246764689e-01      1.732368149e+00      1.481937263e+01
      2.266666667e+00     -1.428282582e+00      6.000323083e-01      2.197576249e+00      5.534901040e+01
      2.300000000e+00     -1.350608167e+00      3.801635178e-01      2.067011280e+00      9.346764848e+01
      2.333333333e+00     -1.290485393e+00      2.294671592e-01      1.538908016e+00      6.133435306e+01
      2.366666667e+00     -1.243981117e+00      1.631948222e-01      1.273290598e+00      3.526411774e+01
      2.400000000e+00     -1.204121682e+00      1.255140475e-01      1.127402500e+00      2.256347429e+01
