n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.655844649e+00      8.133135143e-01      1.327196189e+00      6.330281966e+01
      2.133333333e+00     -1.622992357e+00      8.037752281e-01      1.447152195e+00      6.165124348e+01
      2.166666667e+00     -1.586771108e+00      7.953923996e-01      1.543598608e+00      5.074253609e+01
      2.200000000e+00     -1.542037675e+00      7.512302708e-01      1.757186244e+00      6.137703258e+01
      2.233333333e+00     -1.491230538e+00      7.033728004e-01      1.935144356e+00      4.514062586e+01
      2.266666667e+00     -1.424398756e+00      5.690435354e-01      2.280757287e+00      9.028284624e+01
      2.300000000e+00     -1.347679838e+00      3.284762004e-01      1.996788689e+00      1.247438677e+02
      2.333333333e+00     -1.289505766e+00      1.857013095e-01      1.498117405e+00      6.720474141e+01
      2.366666667e+00     -1.243294662e+00      1.279453244e-01      1.257970049e+00      3.527859643e+01
      2.400000000e+00     -1.203908080e+00      1.005805108e-01      1.123776170e+00      2.285251313e+01
