n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.661697576e+00      8.667991094e-01      9.980921118e-01      2.948648729e+00
      2.133333333e+00     -1.627938437e+00      8.465624428e-01      1.089495521e+00      2.911598780e+00
      2.166666667e+00     -1.590387263e+00      8.214592667e-01      1.217008986e+00      2.855823597e+00
      2.200000000e+00     -1.546524516e+00      7.844979639e-01      1.406485677e+00      5.131346547e+00
      2.233333333e+00     -1.495136051e+00      7.281330050e-01      1.687347497e+00      1.159403749e+01
      2.266666667e+00     -1.430342329e+00      6.168245583e-01      2.119909865e+00      3.766510798e+01
      2.300000000e+00     -1.356266890e+00      4.449262947e-01      2.062772216e+00      5.929371930e+01
      2.333333333e+00     -1.293346887e+00      2.960909500e-01      1.619199276e+00      4.941346552e+01
      2.366666667e+00     -1.245037821e+00      2.202272536e-01      1.316951176e+00      3.261506333e+01
      2.400000000e+00     -1.204330859e+00      1.674909247e-01      1.129685337e+00      2.129867068e+01
