n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.661357861e+00      8.653741278e-01      1.010472213e+00      4.207707082e+00
      2.133333333e+00     -1.627131403e+00      8.425720667e-01      1.138875235e+00      7.028290125e+00
      2.166666667e+00     -1.590556314e+00      8.225191611e-01      1.197233306e+00      2.219225866e+00
      2.200000000e+00     -1.546593969e+00      7.845411139e-01      1.422475101e+00      4.944747377e+00
      2.233333333e+00     -1.495222689e+00      7.303453403e-01      1.630812468e+00      9.577817429e+00
      2.266666667e+00     -1.427769033e+00      6.038915917e-01      2.114608076e+00      4.180133116e+01
      2.300000000e+00     -1.358091425e+00      4.548467875e-01      2.008754505e+00      5.520006947e+01
      2.333333333e+00     -1.294198775e+00      3.051493444e-01      1.639744992e+00      5.036395062e+01
      2.366666667e+00     -1.244538872e+00      2.160454236e-01      1.312851986e+00      3.164208892e+01
      2.400000000e+00     -1.204229553e+00      1.698763708e-01      1.137056985e+00      2.161334153e+01
