n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.651154098e+00      7.716379520e-01      1.612489578e+00      1.117638511e+02
      2.133333333e+00     -1.618465760e+00      7.642057020e-01      1.687774054e+00      1.032589042e+02
      2.166666667e+00     -1.586665839e+00      7.938701635e-01      1.599122892e+00      6.091044800e+01
      2.200000000e+00     -1.544102300e+00      7.701891195e-01      1.618550864e+00      2.975644962e+01
      2.233333333e+00     -1.492615977e+00      7.107681345e-01      1.921039095e+00      3.831397173e+01
      2.266666667e+00     -1.425164517e+00      5.690196515e-01      2.325317105e+00      9.829676074e+01
      2.300000000e+00     -1.350542049e+00      3.507055560e-01      1.998144360e+00      1.202460191e+02
      2.333333333e+00     -1.289134089e+00      1.832264290e-01      1.478239758e+00      6.923145108e+01
      2.366666667e+00     -1.243861445e+00      1.309083805e-01      1.260481589e+00      3.594405528e+01
      2.400000000e+00     -1.204604029e+00      1.026452255e-01      1.123965424e+00      2.487099223e+01
