n_cycles:                 20000
T  epsilon   m   Cv   X
      2.100000000e+00     -1.662193866e+00      8.687505297e-01      9.577513986e-01      9.696910784e-01
      2.133333333e+00     -1.626075886e+00      8.329985625e-01      1.265364999e+00      2.445674565e+01
      2.166666667e+00     -1.587759658e+00      8.076023641e-01      1.426936603e+00      2.259352817e+01
      2.200000000e+00     -1.544994323e+00      7.757784688e-01      1.495621539e+00      1.632600699e+01
      2.233333333e+00     -1.494954073e+00      7.273980008e-01      1.698734561e+00      1.281090790e+01
      2.266666667e+00     -1.429135300e+00      6.030741180e-01      2.127085830e+00      5.792104508e+01
      2.300000000e+00     -1.352262991e+00      3.949318164e-01      2.049091581e+00      8.738600667e+01
      2.333333333e+00     -1.289328681e+00      2.249885937e-01      1.519912839e+00      5.990427473e+01
      2.366666667e+00     -1.243642983e+00      1.663975422e-01      1.261082878e+00      3.592091286e+01
      2.400000000e+00     -1.203812561e+00      1.259446734e-01      1.124180687e+00      2.224707765e+01
